O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
11-2011.00,Advertising and Promotions Managers,Adobe Premiere Pro,43232103,Video creation and editing ,N
11-2011.00,Advertising and Promotions Managers,AdRelevance,43232305,Data base reporting ,N
11-2011.00,Advertising and Promotions Managers,Apple iMovie,43232103,Video creation and editing ,N
11-2011.00,Advertising and Promotions Managers,Avid Media Composer,43232103,Video creation and editing ,N
11-2011.00,Advertising and Promotions Managers,Brainworks,43231602,Enterprise resource planning ERP ,Y
11-2011.00,Advertising and Promotions Managers,Business analysis software,43232605,Analytical or scientific ,N
11-2011.00,Advertising and Promotions Managers,Constant Contact,43232303,Customer relationship management CRM ,N
11-2011.00,Advertising and Promotions Managers,Customer relationship management CRM software,43232303,Customer relationship management CRM ,N
11-2011.00,Advertising and Promotions Managers,Data visualization software,43232605,Analytical or scientific ,N
11-2011.00,Advertising and Promotions Managers,Data warehousing software,43232202,Document management ,N
11-2011.00,Advertising and Promotions Managers,Database software,43232306,Data base user interface and query ,N
11-2011.00,Advertising and Promotions Managers,Experience in Software Webplanner,43231507,Project management ,N
11-2011.00,Advertising and Promotions Managers,Google DoubleClick,43232314,Business intelligence and data analysis ,N
11-2011.00,Advertising and Promotions Managers,IBM Lotus Notes,43233501,Electronic mail ,N
11-2011.00,Advertising and Promotions Managers,JavaScript,43232408,Web platform development ,Y
11-2011.00,Advertising and Promotions Managers,MarketSharp,43232303,Customer relationship management CRM ,N
11-2011.00,Advertising and Promotions Managers,Microsoft Dynamics Marketing,43232306,Data base user interface and query ,N
11-2011.00,Advertising and Promotions Managers,PaloAlto Advertising Plan Pro,43232306,Data base user interface and query ,N
11-2011.00,Advertising and Promotions Managers,Quark,43232112,Desktop publishing ,N
11-2011.00,Advertising and Promotions Managers,Relex Weibull,43232605,Analytical or scientific ,N
11-2011.00,Advertising and Promotions Managers,Structure query language SQL,43232306,Data base user interface and query ,N
11-2011.00,Advertising and Promotions Managers,Webtrends software,43231514,Sales and marketing ,N
11-2011.01,Green Marketers,Adobe Systems Adobe Experience Manager (AEM),43232107,Web page creation and editing ,N
11-2011.01,Green Marketers,Adobe Systems Adobe Reader,43232202,Document management ,N
11-2011.01,Green Marketers,Computer aided software engineering CASE tools,43232405,Object or component oriented development ,N
11-2011.01,Green Marketers,Drupal,43232408,Web platform development ,Y
11-2011.01,Green Marketers,Hootsuite,43232403,Enterprise application integration ,N
11-2011.01,Green Marketers,HubSpot software,43231514,Sales and marketing ,N
11-2011.01,Green Marketers,HTML,43232408,Web platform development ,Y
11-2011.01,Green Marketers,Inventory tracking software,43231508,Inventory management ,N
11-2011.01,Green Marketers,MailChimp,43233501,Electronic mail ,N
11-2011.01,Green Marketers,Pinterest,43232309,Information retrieval or search ,N
11-2011.01,Green Marketers,Social media software,43232107,Web page creation and editing ,N
11-2011.01,Green Marketers,Software development tools,43232402,Development environment ,N
11-2011.01,Green Marketers,Twitter,43233504,Instant messaging ,N
11-2011.01,Green Marketers,Vimeo,43232103,Video creation and editing ,N
11-2011.01,Green Marketers,WebTrends Analytics,43232605,Analytical or scientific ,N
11-2011.01,Green Marketers,WordPress,43232107,Web page creation and editing ,N
11-2021.00,Marketing Managers,Adobe Systems Adobe ActionScript,43232402,Development environment ,N
11-2021.00,Marketing Managers,Adobe Systems Adobe Creative Cloud,43232102,Graphics or photo imaging ,Y
11-2021.00,Marketing Managers,Adobe Systems Adobe Fireworks,43232102,Graphics or photo imaging ,N
11-2021.00,Marketing Managers,Adobe Systems Adobe Flash,43232102,Graphics or photo imaging ,N
11-2021.00,Marketing Managers,AEC Software FastTrack,43232306,Data base user interface and query ,N
11-2021.00,Marketing Managers,Apache Cassandra,43232304,Data base management system ,Y
11-2021.00,Marketing Managers,Apache Hive,43232304,Data base management system ,Y
11-2021.00,Marketing Managers,Apache Pig,43232304,Data base management system ,Y
11-2021.00,Marketing Managers,Apache Solr,43232304,Data base management system ,Y
11-2021.00,Marketing Managers,Armand Morin MultiTrack Generator,43232313,Transaction server ,N
11-2021.00,Marketing Managers,AWS Redshift,43232306,Data base user interface and query ,Y
11-2021.00,Marketing Managers,C,43232402,Development environment ,Y
11-2021.00,Marketing Managers,CSS,43232408,Web platform development ,Y
11-2021.00,Marketing Managers,ClearEDGE,43232306,Data base user interface and query ,N
